feature,importance
PLAYER_PTS_EMA_5,0.0
PLAYER_PTS_EMA_10,0.0
PLAYER_PTS_EMA_20,0.0
PLAYER_REB_EMA_5,0.0
PLAYER_REB_EMA_10,0.0
PLAYER_REB_EMA_20,0.0
PLAYER_AST_EMA_5,0.0
PLAYER_AST_EMA_10,0.0
PLAYER_AST_EMA_20,0.0
PLAYER_STL_EMA_10,0.0
PLAYER_STL_EMA_20,0.0
PLAYER_TOV_EMA_5,0.0
PLAYER_TOV_EMA_10,0.0
PLAYER_TOV_EMA_20,0.0
PLAYER_FGA_EMA_5,0.0
PLAYER_FGA_EMA_10,0.0
PLAYER_FGA_EMA_20,0.0
PLAYER_FGM_EMA_5,0.0
PLAYER_FGM_EMA_10,0.0
PLAYER_FGM_EMA_20,0.0
PLAYER_FG3A_EMA_5,0.0
PLAYER_FG3A_EMA_10,0.0
PLAYER_FG3A_EMA_20,0.0
PLAYER_FG3M_EMA_5,0.0
PLAYER_FG3M_EMA_10,0.0
PLAYER_FG3M_EMA_20,0.0
PLAYER_FTA_EMA_5,0.0
PLAYER_FTA_EMA_10,0.0
PLAYER_FTA_EMA_20,0.0
PLAYER_FTM_EMA_5,0.0
PLAYER_FTM_EMA_10,0.0
PLAYER_FTM_EMA_20,0.0
PLAYER_MIN_EMA_5,0.0
PLAYER_MIN_EMA_10,0.0
PLAYER_MIN_EMA_20,0.0
FGM,0.0
FGA,0.0
FG_PCT,0.0
FG3M,0.0
FG3A,0.0
FG3_PCT,0.0
FTM,0.0
FTA,0.0
FT_PCT,0.0
DREB,0.0
REB,0.0
AST,0.0
TOV,0.0
TS_PCT,0.0
PTS_PER_MIN,0.0
