POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,ROLLING_AVG_PTS,GAMES_PLAYED,PTS_DIFF
C,10,0022300117,2023-11-01,1610612737,ATL,1610612764,WAS,10.0,1,0.0
C,10,0022300117,2023-11-01,1610612737,ATL,1610612764,WAS,10.0,2,0.0
C,17,0022300135,2023-11-04,1610612737,ATL,1610612740,NOP,12.813953488372093,1,4.186046511627907
C,17,0022300135,2023-11-04,1610612737,ATL,1610612740,NOP,14.193069306930694,2,2.8069306930693063
C,6,0022300155,2023-11-06,1610612737,ATL,1610612760,OKC,11.84106193996196,1,-5.8410619399619605
C,6,0022300155,2023-11-06,1610612737,ATL,1610612760,OKC,10.323936393252266,2,-4.323936393252266
C,6,0022300172,2023-11-09,1610612737,ATL,1610612753,ORL,9.282041419180723,1,-3.2820414191807235
C,6,0022300172,2023-11-09,1610612737,ATL,1610612753,ORL,8.5353611792648,2,-2.5353611792648003
C,8,0022300175,2023-11-11,1610612737,ATL,1610612748,MIA,8.418885321228872,1,-0.41888532122887234
C,8,0022300175,2023-11-11,1610612737,ATL,1610612748,MIA,8.330895877080602,2,-0.33089587708060186
C,8,0022300018,2023-11-14,1610612737,ATL,1610612765,DET,8.263297986234017,1,-0.2632979862340168
C,8,0022300018,2023-11-14,1610612737,ATL,1610612765,DET,8.210691530473254,2,-0.2106915304732535
C,8,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,8.169339261590396,1,-0.16933926159039636
C,8,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,8.13657662665407,2,-0.13657662665407067
C,17,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,9.831656429036423,1,7.168343570963577
C,17,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,11.18976002816805,2,5.810239971831949
F,37,0022300117,2023-11-01,1610612737,ATL,1610612764,WAS,37.0,1,0.0
F,37,0022300117,2023-11-01,1610612737,ATL,1610612764,WAS,37.0,2,0.0
F,25,0022300135,2023-11-04,1610612737,ATL,1610612740,NOP,32.176079734219265,1,-7.176079734219265
F,25,0022300135,2023-11-04,1610612737,ATL,1610612740,NOP,29.81188118811881,2,-4.811881188118811
F,21,0022300155,2023-11-06,1610612737,ATL,1610612760,OKC,27.282229760200778,1,-6.282229760200778
F,21,0022300155,2023-11-06,1610612737,ATL,1610612760,OKC,25.65051769183627,2,-4.650517691836271
F,31,0022300172,2023-11-09,1610612737,ATL,1610612753,ORL,26.9395280342313,1,4.0604719657686985
F,31,0022300172,2023-11-09,1610612737,ATL,1610612753,ORL,27.863304974964997,2,3.136695025035003
F,19,0022300175,2023-11-11,1610612737,ATL,1610612748,MIA,25.93495997727414,1,-6.93495997727414
F,19,0022300175,2023-11-11,1610612737,ATL,1610612748,MIA,24.478228880083332,2,-5.478228880083332
F,32,0022300018,2023-11-14,1610612737,ATL,1610612765,DET,26.01483268313787,1,5.985167316862132
F,32,0022300018,2023-11-14,1610612737,ATL,1610612765,DET,27.210658158975104,2,4.789341841024896
F,23,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,26.384235435799553,1,-3.384235435799553
F,23,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,25.729476054659287,2,-2.729476054659287
F,27,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,25.972456603762534,1,1.0275433962374656
F,27,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,26.16713343124424,2,0.8328665687557617
G,83,0022300117,2023-11-01,1610612737,ATL,1610612764,WAS,83.0,1,0.0
G,83,0022300117,2023-11-01,1610612737,ATL,1610612764,WAS,83.0,2,0.0
G,81,0022300135,2023-11-04,1610612737,ATL,1610612740,NOP,82.19601328903654,1,-1.196013289036543
G,81,0022300135,2023-11-04,1610612737,ATL,1610612740,NOP,81.8019801980198,2,-0.8019801980198054
G,90,0022300155,2023-11-06,1610612737,ATL,1610612760,OKC,84.15540871747613,1,5.844591282523865
G,90,0022300155,2023-11-06,1610612737,ATL,1610612760,OKC,85.67345095635906,2,4.326549043640938
G,81,0022300172,2023-11-09,1610612737,ATL,1610612753,ORL,84.54733701291646,1,-3.547337012916458
G,81,0022300172,2023-11-09,1610612737,ATL,1610612753,ORL,83.74030074689388,2,-2.7403007468938796
G,75,0022300175,2023-11-11,1610612737,ATL,1610612748,MIA,81.83871716478848,1,-6.838717164788477
G,75,0022300175,2023-11-11,1610612737,ATL,1610612748,MIA,80.40220246369634,2,-5.402202463696341
G,78,0022300018,2023-11-14,1610612737,ATL,1610612765,DET,79.91146253255846,1,-1.9114625325584598
G,78,0022300018,2023-11-14,1610612737,ATL,1610612765,DET,79.52955581691795,2,-1.5295558169179486
G,80,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,79.62188954437956,1,0.378110455620444
G,80,0022300193,2023-11-15,1610612737,ATL,1610612752,NYK,79.69504384248359,2,0.3049561575164148
G,70,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,77.84092130896846,1,-7.840921308968461
G,70,0022300029,2023-11-17,1610612737,ATL,1610612755,PHI,76.35539214246026,2,-6.355392142460261
C,13,0022300118,2023-11-01,1610612738,BOS,1610612754,IND,13.0,1,0.0
C,13,0022300118,2023-11-01,1610612738,BOS,1610612754,IND,13.0,2,0.0
C,22,0022300136,2023-11-04,1610612738,BOS,1610612751,BKN,16.61794019933555,1,5.38205980066445
C,22,0022300136,2023-11-04,1610612738,BOS,1610612751,BKN,18.391089108910894,2,3.6089108910891063
C,20,0022300154,2023-11-06,1610612738,BOS,1610612750,MIN,18.852963667379075,1,1.1470363326209245
C,20,0022300154,2023-11-06,1610612738,BOS,1610612750,MIN,19.15088862368158,2,0.8491113763184188
C,29,0022300159,2023-11-08,1610612738,BOS,1610612755,PHI,21.524128817055157,1,7.475871182944843
C,29,0022300159,2023-11-08,1610612738,BOS,1610612755,PHI,23.224925539436317,2,5.775074460563683
C,9,0022300010,2023-11-10,1610612738,BOS,1610612751,BKN,20.13007953289853,1,-11.130079532898531
C,9,0022300010,2023-11-10,1610612738,BOS,1610612751,BKN,17.79213771017541,2,-8.79213771017541
C,21,0022300174,2023-11-11,1610612738,BOS,1610612761,TOR,18.44746387147907,1,2.5525361285209307
C,21,0022300174,2023-11-11,1610612738,BOS,1610612761,TOR,18.957455918297995,2,2.0425440817020046
C,21,0022300188,2023-11-13,1610612738,BOS,1610612752,NYK,19.358344515394926,1,1.6416554846050744
C,21,0022300188,2023-11-13,1610612738,BOS,1610612752,NYK,19.675961108429505,2,1.3240388915704955
C,14,0022300194,2023-11-15,1610612738,BOS,1610612755,PHI,18.590465512795486,1,-4.590465512795486
C,14,0022300194,2023-11-15,1610612738,BOS,1610612755,PHI,17.7207628160846,2,-3.7207628160846014
C,14,0022300031,2023-11-17,1610612738,BOS,1610612761,TOR,17.021177735683352,1,-3.0211777356833522
C,14,0022300031,2023-11-17,1610612738,BOS,1610612761,TOR,16.45663231528565,2,-2.456632315285649
C,26,0022300213,2023-11-19,1610612738,BOS,1610612763,MEM,18.230981011897324,1,7.769018988102676
C,26,0022300213,2023-11-19,1610612738,BOS,1610612763,MEM,19.669526734544505,2,6.330473265455495
C,17,0022300217,2023-11-20,1610612738,BOS,1610612766,CHA,19.17687394690188,1,-2.1768739469018783
C,17,0022300217,2023-11-20,1610612738,BOS,1610612766,CHA,18.77623191118367,2,-1.7762319111836717
