POSITION_GROUP,PTS,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_ABBREVIATION,C_PTS,F_PTS,G_PTS,ROLLING_C_AVG,C_DIFF,ROLLING_F_AVG,F_DIFF,ROLLING_G_AVG,G_DIFF,GAMES_PLAYED,ROLLING_AVG_PTS,PTS_DIFF
C,12,0022300431,2023-12-29,1610612737,ATL,1610612758,SAC,12.0,31.0,61.0,12.0,0.0,31.0,0.0,61.0,0.0,1,12.0,0.0
F,31,0022300431,2023-12-29,1610612737,ATL,1610612758,SAC,12.0,31.0,61.0,12.0,0.0,31.0,0.0,61.0,0.0,1,31.0,0.0
G,61,0022300431,2023-12-29,1610612737,ATL,1610612758,SAC,12.0,31.0,61.0,12.0,0.0,31.0,0.0,61.0,0.0,1,61.0,0.0
C,12,0022300431,2023-12-29,1610612737,ATL,1610612758,SAC,12.0,31.0,61.0,12.0,0.0,31.0,0.0,61.0,0.0,2,12.0,0.0
F,31,0022300431,2023-12-29,1610612737,ATL,1610612758,SAC,12.0,31.0,61.0,12.0,0.0,31.0,0.0,61.0,0.0,2,31.0,0.0
G,61,0022300431,2023-12-29,1610612737,ATL,1610612758,SAC,12.0,31.0,61.0,12.0,0.0,31.0,0.0,61.0,0.0,2,61.0,0.0
C,11,0022300445,2023-12-31,1610612737,ATL,1610612764,WAS,11.0,35.0,84.0,11.45,-0.4499999999999993,33.199999999999996,1.8000000000000043,73.65,10.349999999999994,3,11.45,-0.4499999999999993
F,35,0022300445,2023-12-31,1610612737,ATL,1610612764,WAS,11.0,35.0,84.0,11.45,-0.4499999999999993,33.199999999999996,1.8000000000000043,73.65,10.349999999999994,3,33.199999999999996,1.8000000000000043
G,84,0022300445,2023-12-31,1610612737,ATL,1610612764,WAS,11.0,35.0,84.0,11.45,-0.4499999999999993,33.199999999999996,1.8000000000000043,73.65,10.349999999999994,3,73.65,10.349999999999994
C,11,0022300445,2023-12-31,1610612737,ATL,1610612764,WAS,11.0,35.0,84.0,11.45,-0.4499999999999993,33.199999999999996,1.8000000000000043,73.65,10.349999999999994,4,11.45,-0.4499999999999993
F,35,0022300445,2023-12-31,1610612737,ATL,1610612764,WAS,11.0,35.0,84.0,11.45,-0.4499999999999993,33.199999999999996,1.8000000000000043,73.65,10.349999999999994,4,33.199999999999996,1.8000000000000043
G,84,0022300445,2023-12-31,1610612737,ATL,1610612764,WAS,11.0,35.0,84.0,11.45,-0.4499999999999993,33.199999999999996,1.8000000000000043,73.65,10.349999999999994,4,73.65,10.349999999999994
C,12,0022300467,2024-01-03,1610612737,ATL,1610612760,OKC,12.0,38.0,91.0,11.67109634551495,0.32890365448504966,35.12956810631229,2.8704318936877087,80.62458471760797,10.375415282392026,5,11.67109634551495,0.32890365448504966
F,38,0022300467,2024-01-03,1610612737,ATL,1610612760,OKC,12.0,38.0,91.0,11.67109634551495,0.32890365448504966,35.12956810631229,2.8704318936877087,80.62458471760797,10.375415282392026,5,35.12956810631229,2.8704318936877087
G,91,0022300467,2024-01-03,1610612737,ATL,1610612760,OKC,12.0,38.0,91.0,11.67109634551495,0.32890365448504966,35.12956810631229,2.8704318936877087,80.62458471760797,10.375415282392026,5,80.62458471760797,10.375415282392026
C,12,0022300467,2024-01-03,1610612737,ATL,1610612760,OKC,12.0,38.0,91.0,11.67109634551495,0.32890365448504966,35.12956810631229,2.8704318936877087,80.62458471760797,10.375415282392026,6,11.67109634551495,0.32890365448504966
F,38,0022300467,2024-01-03,1610612737,ATL,1610612760,OKC,12.0,38.0,91.0,11.67109634551495,0.32890365448504966,35.12956810631229,2.8704318936877087,80.62458471760797,10.375415282392026,6,35.12956810631229,2.8704318936877087
G,91,0022300467,2024-01-03,1610612737,ATL,1610612760,OKC,12.0,38.0,91.0,11.67109634551495,0.32890365448504966,35.12956810631229,2.8704318936877087,80.62458471760797,10.375415282392026,6,80.62458471760797,10.375415282392026
C,9,0022300480,2024-01-05,1610612737,ATL,1610612754,IND,9.0,21.0,74.0,10.79108910891089,-1.7910891089108905,30.474504950495046,-9.474504950495046,78.44207920792078,-4.442079207920784,7,10.79108910891089,-1.7910891089108905
F,21,0022300480,2024-01-05,1610612737,ATL,1610612754,IND,9.0,21.0,74.0,10.79108910891089,-1.7910891089108905,30.474504950495046,-9.474504950495046,78.44207920792078,-4.442079207920784,7,30.474504950495046,-9.474504950495046
G,74,0022300480,2024-01-05,1610612737,ATL,1610612754,IND,9.0,21.0,74.0,10.79108910891089,-1.7910891089108905,30.474504950495046,-9.474504950495046,78.44207920792078,-4.442079207920784,7,78.44207920792078,-4.442079207920784
C,9,0022300480,2024-01-05,1610612737,ATL,1610612754,IND,9.0,21.0,74.0,10.79108910891089,-1.7910891089108905,30.474504950495046,-9.474504950495046,78.44207920792078,-4.442079207920784,8,10.79108910891089,-1.7910891089108905
F,21,0022300480,2024-01-05,1610612737,ATL,1610612754,IND,9.0,21.0,74.0,10.79108910891089,-1.7910891089108905,30.474504950495046,-9.474504950495046,78.44207920792078,-4.442079207920784,8,30.474504950495046,-9.474504950495046
G,74,0022300480,2024-01-05,1610612737,ATL,1610612754,IND,9.0,21.0,74.0,10.79108910891089,-1.7910891089108905,30.474504950495046,-9.474504950495046,78.44207920792078,-4.442079207920784,8,78.44207920792078,-4.442079207920784
C,35,0022300421,2023-12-28,1610612738,BOS,1610612765,DET,35.0,39.0,54.0,35.0,0.0,39.0,0.0,54.0,0.0,1,35.0,0.0
F,39,0022300421,2023-12-28,1610612738,BOS,1610612765,DET,35.0,39.0,54.0,35.0,0.0,39.0,0.0,54.0,0.0,1,39.0,0.0
G,54,0022300421,2023-12-28,1610612738,BOS,1610612765,DET,35.0,39.0,54.0,35.0,0.0,39.0,0.0,54.0,0.0,1,54.0,0.0
C,35,0022300421,2023-12-28,1610612738,BOS,1610612765,DET,35.0,39.0,54.0,35.0,0.0,39.0,0.0,54.0,0.0,2,35.0,0.0
F,39,0022300421,2023-12-28,1610612738,BOS,1610612765,DET,35.0,39.0,54.0,35.0,0.0,39.0,0.0,54.0,0.0,2,39.0,0.0
G,54,0022300421,2023-12-28,1610612738,BOS,1610612765,DET,35.0,39.0,54.0,35.0,0.0,39.0,0.0,54.0,0.0,2,54.0,0.0
C,20,0022300432,2023-12-29,1610612738,BOS,1610612761,TOR,20.0,40.0,53.0,26.75,-6.75,39.55,0.45000000000000284,53.449999999999996,-0.44999999999999574,3,26.75,-6.75
F,40,0022300432,2023-12-29,1610612738,BOS,1610612761,TOR,20.0,40.0,53.0,26.75,-6.75,39.55,0.45000000000000284,53.449999999999996,-0.44999999999999574,3,39.55,0.45000000000000284
G,53,0022300432,2023-12-29,1610612738,BOS,1610612761,TOR,20.0,40.0,53.0,26.75,-6.75,39.55,0.45000000000000284,53.449999999999996,-0.44999999999999574,3,53.449999999999996,-0.44999999999999574
C,20,0022300432,2023-12-29,1610612738,BOS,1610612761,TOR,20.0,40.0,53.0,26.75,-6.75,39.55,0.45000000000000284,53.449999999999996,-0.44999999999999574,4,26.75,-6.75
F,40,0022300432,2023-12-29,1610612738,BOS,1610612761,TOR,20.0,40.0,53.0,26.75,-6.75,39.55,0.45000000000000284,53.449999999999996,-0.44999999999999574,4,39.55,0.45000000000000284
G,53,0022300432,2023-12-29,1610612738,BOS,1610612761,TOR,20.0,40.0,53.0,26.75,-6.75,39.55,0.45000000000000284,53.449999999999996,-0.44999999999999574,4,53.449999999999996,-0.44999999999999574
C,14,0022300448,2023-12-31,1610612738,BOS,1610612759,SAS,14.0,32.0,77.0,21.624584717607974,-7.6245847176079735,36.51495016611296,-4.5149501661129605,62.91694352159468,14.083056478405318,5,21.624584717607974,-7.6245847176079735
F,32,0022300448,2023-12-31,1610612738,BOS,1610612759,SAS,14.0,32.0,77.0,21.624584717607974,-7.6245847176079735,36.51495016611296,-4.5149501661129605,62.91694352159468,14.083056478405318,5,36.51495016611296,-4.5149501661129605
G,77,0022300448,2023-12-31,1610612738,BOS,1610612759,SAS,14.0,32.0,77.0,21.624584717607974,-7.6245847176079735,36.51495016611296,-4.5149501661129605,62.91694352159468,14.083056478405318,5,62.91694352159468,14.083056478405318
C,14,0022300448,2023-12-31,1610612738,BOS,1610612759,SAS,14.0,32.0,77.0,21.624584717607974,-7.6245847176079735,36.51495016611296,-4.5149501661129605,62.91694352159468,14.083056478405318,6,21.624584717607974,-7.6245847176079735
F,32,0022300448,2023-12-31,1610612738,BOS,1610612759,SAS,14.0,32.0,77.0,21.624584717607974,-7.6245847176079735,36.51495016611296,-4.5149501661129605,62.91694352159468,14.083056478405318,6,36.51495016611296,-4.5149501661129605
G,77,0022300448,2023-12-31,1610612738,BOS,1610612759,SAS,14.0,32.0,77.0,21.624584717607974,-7.6245847176079735,36.51495016611296,-4.5149501661129605,62.91694352159468,14.083056478405318,6,62.91694352159468,14.083056478405318
C,34,0022300462,2024-01-02,1610612738,BOS,1610612760,OKC,34.0,45.0,38.0,25.70173267326733,8.29826732673267,39.31039603960396,5.689603960396042,54.70792079207921,-16.707920792079207,7,25.70173267326733,8.29826732673267
F,45,0022300462,2024-01-02,1610612738,BOS,1610612760,OKC,34.0,45.0,38.0,25.70173267326733,8.29826732673267,39.31039603960396,5.689603960396042,54.70792079207921,-16.707920792079207,7,39.31039603960396,5.689603960396042
G,38,0022300462,2024-01-02,1610612738,BOS,1610612760,OKC,34.0,45.0,38.0,25.70173267326733,8.29826732673267,39.31039603960396,5.689603960396042,54.70792079207921,-16.707920792079207,7,54.70792079207921,-16.707920792079207
C,34,0022300462,2024-01-02,1610612738,BOS,1610612760,OKC,34.0,45.0,38.0,25.70173267326733,8.29826732673267,39.31039603960396,5.689603960396042,54.70792079207921,-16.707920792079207,8,25.70173267326733,8.29826732673267
F,45,0022300462,2024-01-02,1610612738,BOS,1610612760,OKC,34.0,45.0,38.0,25.70173267326733,8.29826732673267,39.31039603960396,5.689603960396042,54.70792079207921,-16.707920792079207,8,39.31039603960396,5.689603960396042
G,38,0022300462,2024-01-02,1610612738,BOS,1610612760,OKC,34.0,45.0,38.0,25.70173267326733,8.29826732673267,39.31039603960396,5.689603960396042,54.70792079207921,-16.707920792079207,8,54.70792079207921,-16.707920792079207
C,19,0022300479,2024-01-05,1610612738,BOS,1610612762,UTA,19.0,43.0,57.0,23.777847493186407,-4.777847493186407,40.369580988608064,2.630419011391936,55.36591439383541,1.6340856061645894,9,23.777847493186407,-4.777847493186407
F,43,0022300479,2024-01-05,1610612738,BOS,1610612762,UTA,19.0,43.0,57.0,23.777847493186407,-4.777847493186407,40.369580988608064,2.630419011391936,55.36591439383541,1.6340856061645894,9,40.369580988608064,2.630419011391936
G,57,0022300479,2024-01-05,1610612738,BOS,1610612762,UTA,19.0,43.0,57.0,23.777847493186407,-4.777847493186407,40.369580988608064,2.630419011391936,55.36591439383541,1.6340856061645894,9,55.36591439383541,1.6340856061645894
C,19,0022300479,2024-01-05,1610612738,BOS,1610612762,UTA,19.0,43.0,57.0,23.777847493186407,-4.777847493186407,40.369580988608064,2.630419011391936,55.36591439383541,1.6340856061645894,10,23.777847493186407,-4.777847493186407
F,43,0022300479,2024-01-05,1610612738,BOS,1610612762,UTA,19.0,43.0,57.0,23.777847493186407,-4.777847493186407,40.369580988608064,2.630419011391936,55.36591439383541,1.6340856061645894,10,40.369580988608064,2.630419011391936
G,57,0022300479,2024-01-05,1610612738,BOS,1610612762,UTA,19.0,43.0,57.0,23.777847493186407,-4.777847493186407,40.369580988608064,2.630419011391936,55.36591439383541,1.6340856061645894,10,55.36591439383541,1.6340856061645894
F,69,0022300493,2024-01-06,1610612738,BOS,1610612754,IND,,69.0,47.0,23.777847493186407,,47.805889752604585,21.194110247395415,53.1929974518595,-6.1929974518594975,11,47.805889752604585,21.194110247395415
G,47,0022300493,2024-01-06,1610612738,BOS,1610612754,IND,,69.0,47.0,23.777847493186407,,47.805889752604585,21.194110247395415,53.1929974518595,-6.1929974518594975,11,53.1929974518595,-6.1929974518594975
F,69,0022300493,2024-01-06,1610612738,BOS,1610612754,IND,,69.0,47.0,23.777847493186407,,47.805889752604585,21.194110247395415,53.1929974518595,-6.1929974518594975,12,47.805889752604585,21.194110247395415
G,47,0022300493,2024-01-06,1610612738,BOS,1610612754,IND,,69.0,47.0,23.777847493186407,,47.805889752604585,21.194110247395415,53.1929974518595,-6.1929974518594975,12,53.1929974518595,-6.1929974518594975
C,24,0022300420,2023-12-27,1610612739,CLE,1610612742,DAL,24.0,25.0,64.0,24.0,0.0,25.0,0.0,64.0,0.0,1,24.0,0.0
F,25,0022300420,2023-12-27,1610612739,CLE,1610612742,DAL,24.0,25.0,64.0,24.0,0.0,25.0,0.0,64.0,0.0,1,25.0,0.0
G,64,0022300420,2023-12-27,1610612739,CLE,1610612742,DAL,24.0,25.0,64.0,24.0,0.0,25.0,0.0,64.0,0.0,1,64.0,0.0
C,24,0022300420,2023-12-27,1610612739,CLE,1610612742,DAL,24.0,25.0,64.0,24.0,0.0,25.0,0.0,64.0,0.0,2,24.0,0.0
F,25,0022300420,2023-12-27,1610612739,CLE,1610612742,DAL,24.0,25.0,64.0,24.0,0.0,25.0,0.0,64.0,0.0,2,25.0,0.0
G,64,0022300420,2023-12-27,1610612739,CLE,1610612742,DAL,24.0,25.0,64.0,24.0,0.0,25.0,0.0,64.0,0.0,2,64.0,0.0
C,30,0022300433,2023-12-29,1610612739,CLE,1610612749,MIL,30.0,8.0,71.0,27.3,2.6999999999999993,15.65,-7.65,67.85,3.1500000000000057,3,27.3,2.6999999999999993
F,8,0022300433,2023-12-29,1610612739,CLE,1610612749,MIL,30.0,8.0,71.0,27.3,2.6999999999999993,15.65,-7.65,67.85,3.1500000000000057,3,15.65,-7.65
G,71,0022300433,2023-12-29,1610612739,CLE,1610612749,MIL,30.0,8.0,71.0,27.3,2.6999999999999993,15.65,-7.65,67.85,3.1500000000000057,3,67.85,3.1500000000000057
C,30,0022300433,2023-12-29,1610612739,CLE,1610612749,MIL,30.0,8.0,71.0,27.3,2.6999999999999993,15.65,-7.65,67.85,3.1500000000000057,4,27.3,2.6999999999999993
F,8,0022300433,2023-12-29,1610612739,CLE,1610612749,MIL,30.0,8.0,71.0,27.3,2.6999999999999993,15.65,-7.65,67.85,3.1500000000000057,4,15.65,-7.65
G,71,0022300433,2023-12-29,1610612739,CLE,1610612749,MIL,30.0,8.0,71.0,27.3,2.6999999999999993,15.65,-7.65,67.85,3.1500000000000057,4,67.85,3.1500000000000057
C,16,0022300452,2024-01-01,1610612739,CLE,1610612761,TOR,16.0,18.0,87.0,22.75747508305648,-6.75747508305648,16.59468438538206,1.4053156146179404,75.54817275747509,11.451827242524914,5,22.75747508305648,-6.75747508305648
F,18,0022300452,2024-01-01,1610612739,CLE,1610612761,TOR,16.0,18.0,87.0,22.75747508305648,-6.75747508305648,16.59468438538206,1.4053156146179404,75.54817275747509,11.451827242524914,5,16.59468438538206,1.4053156146179404
G,87,0022300452,2024-01-01,1610612739,CLE,1610612761,TOR,16.0,18.0,87.0,22.75747508305648,-6.75747508305648,16.59468438538206,1.4053156146179404,75.54817275747509,11.451827242524914,5,75.54817275747509,11.451827242524914
C,16,0022300452,2024-01-01,1610612739,CLE,1610612761,TOR,16.0,18.0,87.0,22.75747508305648,-6.75747508305648,16.59468438538206,1.4053156146179404,75.54817275747509,11.451827242524914,6,22.75747508305648,-6.75747508305648
F,18,0022300452,2024-01-01,1610612739,CLE,1610612761,TOR,16.0,18.0,87.0,22.75747508305648,-6.75747508305648,16.59468438538206,1.4053156146179404,75.54817275747509,11.451827242524914,6,16.59468438538206,1.4053156146179404
G,87,0022300452,2024-01-01,1610612739,CLE,1610612761,TOR,16.0,18.0,87.0,22.75747508305648,-6.75747508305648,16.59468438538206,1.4053156146179404,75.54817275747509,11.451827242524914,6,75.54817275747509,11.451827242524914
C,17,0022300465,2024-01-03,1610612739,CLE,1610612764,WAS,17.0,11.0,108.0,20.860643564356437,-3.8606435643564367,14.75148514851485,-3.751485148514851,86.23960396039604,21.76039603960396,7,20.860643564356437,-3.8606435643564367
F,11,0022300465,2024-01-03,1610612739,CLE,1610612764,WAS,17.0,11.0,108.0,20.860643564356437,-3.8606435643564367,14.75148514851485,-3.751485148514851,86.23960396039604,21.76039603960396,7,14.75148514851485,-3.751485148514851
G,108,0022300465,2024-01-03,1610612739,CLE,1610612764,WAS,17.0,11.0,108.0,20.860643564356437,-3.8606435643564367,14.75148514851485,-3.751485148514851,86.23960396039604,21.76039603960396,7,86.23960396039604,21.76039603960396
C,17,0022300465,2024-01-03,1610612739,CLE,1610612764,WAS,17.0,11.0,108.0,20.860643564356437,-3.8606435643564367,14.75148514851485,-3.751485148514851,86.23960396039604,21.76039603960396,8,20.860643564356437,-3.8606435643564367
F,11,0022300465,2024-01-03,1610612739,CLE,1610612764,WAS,17.0,11.0,108.0,20.860643564356437,-3.8606435643564367,14.75148514851485,-3.751485148514851,86.23960396039604,21.76039603960396,8,14.75148514851485,-3.751485148514851
G,108,0022300465,2024-01-03,1610612739,CLE,1610612764,WAS,17.0,11.0,108.0,20.860643564356437,-3.8606435643564367,14.75148514851485,-3.751485148514851,86.23960396039604,21.76039603960396,8,86.23960396039604,21.76039603960396
C,12,0022300482,2024-01-05,1610612739,CLE,1610612764,WAS,12.0,14.0,79.0,18.3169937844356,-6.316993784435599,14.53575420089802,-0.5357542008980207,84.16131056253799,-5.161310562537992,9,18.3169937844356,-6.316993784435599
F,14,0022300482,2024-01-05,1610612739,CLE,1610612764,WAS,12.0,14.0,79.0,18.3169937844356,-6.316993784435599,14.53575420089802,-0.5357542008980207,84.16131056253799,-5.161310562537992,9,14.53575420089802,-0.5357542008980207
G,79,0022300482,2024-01-05,1610612739,CLE,1610612764,WAS,12.0,14.0,79.0,18.3169937844356,-6.316993784435599,14.53575420089802,-0.5357542008980207,84.16131056253799,-5.161310562537992,9,84.16131056253799,-5.161310562537992
C,12,0022300482,2024-01-05,1610612739,CLE,1610612764,WAS,12.0,14.0,79.0,18.3169937844356,-6.316993784435599,14.53575420089802,-0.5357542008980207,84.16131056253799,-5.161310562537992,10,18.3169937844356,-6.316993784435599
F,14,0022300482,2024-01-05,1610612739,CLE,1610612764,WAS,12.0,14.0,79.0,18.3169937844356,-6.316993784435599,14.53575420089802,-0.5357542008980207,84.16131056253799,-5.161310562537992,10,14.53575420089802,-0.5357542008980207
G,79,0022300482,2024-01-05,1610612739,CLE,1610612764,WAS,12.0,14.0,79.0,18.3169937844356,-6.316993784435599,14.53575420089802,-0.5357542008980207,84.16131056253799,-5.161310562537992,10,84.16131056253799,-5.161310562537992
C,29,0022300497,2024-01-07,1610612739,CLE,1610612759,SAS,29.0,3.0,85.0,21.091739509079765,7.9082604909202345,11.539520368996547,-8.539520368996547,84.37914717930522,0.620852820694779,11,21.091739509079765,7.9082604909202345
F,3,0022300497,2024-01-07,1610612739,CLE,1610612759,SAS,29.0,3.0,85.0,21.091739509079765,7.9082604909202345,11.539520368996547,-8.539520368996547,84.37914717930522,0.620852820694779,11,11.539520368996547,-8.539520368996547
G,85,0022300497,2024-01-07,1610612739,CLE,1610612759,SAS,29.0,3.0,85.0,21.091739509079765,7.9082604909202345,11.539520368996547,-8.539520368996547,84.37914717930522,0.620852820694779,11,84.37914717930522,0.620852820694779
C,29,0022300497,2024-01-07,1610612739,CLE,1610612759,SAS,29.0,3.0,85.0,21.091739509079765,7.9082604909202345,11.539520368996547,-8.539520368996547,84.37914717930522,0.620852820694779,12,21.091739509079765,7.9082604909202345
F,3,0022300497,2024-01-07,1610612739,CLE,1610612759,SAS,29.0,3.0,85.0,21.091739509079765,7.9082604909202345,11.539520368996547,-8.539520368996547,84.37914717930522,0.620852820694779,12,11.539520368996547,-8.539520368996547
G,85,0022300497,2024-01-07,1610612739,CLE,1610612759,SAS,29.0,3.0,85.0,21.091739509079765,7.9082604909202345,11.539520368996547,-8.539520368996547,84.37914717930522,0.620852820694779,12,84.37914717930522,0.620852820694779
C,6,0022300424,2023-12-28,1610612740,NOP,1610612762,UTA,6.0,47.0,59.0,6.0,0.0,47.0,0.0,59.0,0.0,1,6.0,0.0
F,47,0022300424,2023-12-28,1610612740,NOP,1610612762,UTA,6.0,47.0,59.0,6.0,0.0,47.0,0.0,59.0,0.0,1,47.0,0.0
G,59,0022300424,2023-12-28,1610612740,NOP,1610612762,UTA,6.0,47.0,59.0,6.0,0.0,47.0,0.0,59.0,0.0,1,59.0,0.0
C,6,0022300424,2023-12-28,1610612740,NOP,1610612762,UTA,6.0,47.0,59.0,6.0,0.0,47.0,0.0,59.0,0.0,2,6.0,0.0
F,47,0022300424,2023-12-28,1610612740,NOP,1610612762,UTA,6.0,47.0,59.0,6.0,0.0,47.0,0.0,59.0,0.0,2,47.0,0.0
G,59,0022300424,2023-12-28,1610612740,NOP,1610612762,UTA,6.0,47.0,59.0,6.0,0.0,47.0,0.0,59.0,0.0,2,59.0,0.0
C,13,0022300446,2023-12-31,1610612740,NOP,1610612747,LAL,13.0,52.0,60.0,9.850000000000001,3.1499999999999986,49.75,2.25,59.55,0.45000000000000284,3,9.850000000000001,3.1499999999999986
F,52,0022300446,2023-12-31,1610612740,NOP,1610612747,LAL,13.0,52.0,60.0,9.850000000000001,3.1499999999999986,49.75,2.25,59.55,0.45000000000000284,3,49.75,2.25
G,60,0022300446,2023-12-31,1610612740,NOP,1610612747,LAL,13.0,52.0,60.0,9.850000000000001,3.1499999999999986,49.75,2.25,59.55,0.45000000000000284,3,59.55,0.45000000000000284
C,13,0022300446,2023-12-31,1610612740,NOP,1610612747,LAL,13.0,52.0,60.0,9.850000000000001,3.1499999999999986,49.75,2.25,59.55,0.45000000000000284,4,9.850000000000001,3.1499999999999986
F,52,0022300446,2023-12-31,1610612740,NOP,1610612747,LAL,13.0,52.0,60.0,9.850000000000001,3.1499999999999986,49.75,2.25,59.55,0.45000000000000284,4,49.75,2.25
G,60,0022300446,2023-12-31,1610612740,NOP,1610612747,LAL,13.0,52.0,60.0,9.850000000000001,3.1499999999999986,49.75,2.25,59.55,0.45000000000000284,4,59.55,0.45000000000000284
C,11,0022300461,2024-01-02,1610612740,NOP,1610612751,BKN,11.0,22.0,73.0,10.312292358803987,0.6877076411960132,38.59468438538206,-16.59468438538206,64.95681063122923,8.043189368770769,5,10.312292358803987,0.6877076411960132
F,22,0022300461,2024-01-02,1610612740,NOP,1610612751,BKN,11.0,22.0,73.0,10.312292358803987,0.6877076411960132,38.59468438538206,-16.59468438538206,64.95681063122923,8.043189368770769,5,38.59468438538206,-16.59468438538206
G,73,0022300461,2024-01-02,1610612740,NOP,1610612751,BKN,11.0,22.0,73.0,10.312292358803987,0.6877076411960132,38.59468438538206,-16.59468438538206,64.95681063122923,8.043189368770769,5,64.95681063122923,8.043189368770769
C,11,0022300461,2024-01-02,1610612740,NOP,1610612751,BKN,11.0,22.0,73.0,10.312292358803987,0.6877076411960132,38.59468438538206,-16.59468438538206,64.95681063122923,8.043189368770769,6,10.312292358803987,0.6877076411960132
F,22,0022300461,2024-01-02,1610612740,NOP,1610612751,BKN,11.0,22.0,73.0,10.312292358803987,0.6877076411960132,38.59468438538206,-16.59468438538206,64.95681063122923,8.043189368770769,6,38.59468438538206,-16.59468438538206
G,73,0022300461,2024-01-02,1610612740,NOP,1610612751,BKN,11.0,22.0,73.0,10.312292358803987,0.6877076411960132,38.59468438538206,-16.59468438538206,64.95681063122923,8.043189368770769,6,64.95681063122923,8.043189368770769
C,4,0022300471,2024-01-03,1610612740,NOP,1610612750,MIN,4.0,46.0,65.0,8.232673267326733,-4.232673267326733,41.03440594059406,4.965594059405937,64.97103960396039,0.028960396039607872,7,8.232673267326733,-4.232673267326733
F,46,0022300471,2024-01-03,1610612740,NOP,1610612750,MIN,4.0,46.0,65.0,8.232673267326733,-4.232673267326733,41.03440594059406,4.965594059405937,64.97103960396039,0.028960396039607872,7,41.03440594059406,4.965594059405937
G,65,0022300471,2024-01-03,1610612740,NOP,1610612750,MIN,4.0,46.0,65.0,8.232673267326733,-4.232673267326733,41.03440594059406,4.965594059405937,64.97103960396039,0.028960396039607872,7,64.97103960396039,0.028960396039607872
