SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,is_home,opponent,days_rest,player_name,position,avg_points_last_5,avg_assists_last_5,avg_fga_last_5,avg_rebounds_last_5,TEAM_ABBREVIATION,DEF_RATING,PACE,actual_pts
22023,1630639,0022301124,2024-04-04,DAL vs. ATL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2,1,1,ATL,0.0,A.J. Lawson,SG,3.2,1.2,4.6,2.6,ATL,118.4,100.84,0
22023,1630639,0022301083,2024-03-31,DAL @ HOU,W,2,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,1,0,HOU,0.0,A.J. Lawson,SG,0.8,0.8,2.0,1.8,HOU,112.8,99.59,0
22023,1630639,0022301047,2024-03-26,DAL @ SAC,W,5,3,3,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,6,7,1,0,SAC,0.0,A.J. Lawson,SG,0.4,0.4,1.0,0.8,SAC,114.4,99.46,6
22023,1630639,0022301041,2024-03-25,DAL @ UTA,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,UTA,0.0,A.J. Lawson,SG,1.6,0.2,1.6,0.6,UTA,119.6,100.26,0
22023,1630639,0022301008,2024-03-21,DAL vs. UTA,W,1,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,1,1,UTA,0.0,A.J. Lawson,SG,1.2,0.2,1.2,0.6,UTA,119.6,100.26,2
22023,1630639,0022300952,2024-03-13,DAL vs. GSW,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4,1,1,GSW,0.0,A.J. Lawson,SG,1.6,0.0,1.2,0.6,GSW,114.5,99.91,0
22023,1630639,0022300935,2024-03-11,DAL @ CHI,W,6,1,5,0.2,0,2,0.0,1,2,0.5,0,1,1,1,1,0,0,1,3,2,1,0,CHI,0.0,A.J. Lawson,SG,1.6,0.0,1.2,0.4,CHI,115.7,96.94,3
22023,1630639,0022300919,2024-03-09,DAL @ DET,W,3,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-2,1,0,DET,0.0,A.J. Lawson,SG,2.2,0.2,2.0,0.4,DET,118.0,100.45,2
22023,1630639,0022300892,2024-03-05,DAL vs. IND,L,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1,1,1,IND,0.0,A.J. Lawson,SG,1.4,0.2,1.6,0.2,IND,117.6,102.16,2
22023,1630639,0022300844,2024-02-28,DAL @ TOR,W,1,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,-1,1,0,TOR,0.0,A.J. Lawson,SG,1.8,0.2,1.8,0.2,TOR,118.1,99.91,2
22023,1630639,0022300785,2024-02-14,DAL vs. SAS,W,5,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-2,1,1,SAS,0.0,A.J. Lawson,SG,1.8,0.2,1.6,0.4,SAS,115.6,101.8,0
22023,1630639,0022300768,2024-02-12,DAL vs. WAS,W,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,WAS,0.0,A.J. Lawson,SG,1.8,0.2,1.8,0.8,WAS,118.9,103.07,0
22023,1630639,0022300748,2024-02-10,DAL vs. OKC,W,6,2,4,0.5,1,2,0.5,0,0,0.0,1,1,2,0,0,0,0,2,5,0,1,1,OKC,0.0,A.J. Lawson,SG,1.2,0.0,0.8,0.6,OKC,111.0,100.85,5
22023,1630639,0022300736,2024-02-08,DAL @ NYK,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1,0,NYK,0.0,A.J. Lawson,SG,1.8,0.0,1.4,1.0,NYK,112.4,95.96,0
22023,1630639,0022300715,2024-02-05,DAL @ PHI,W,5,3,3,1.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,6,0,1,0,PHI,0.0,A.J. Lawson,SG,1.4,0.0,1.2,1.0,PHI,113.0,98.17,6
22023,1630639,0022300680,2024-01-31,DAL @ MIN,L,15,1,5,0.2,0,2,0.0,1,2,0.5,1,1,2,1,0,1,0,2,3,-5,1,0,MIN,0.0,A.J. Lawson,SG,2.2,0.0,1.6,0.8,MIN,108.4,97.79,3
22023,1630639,0022300651,2024-01-27,DAL vs. SAC,L,4,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,1,2,-9,1,1,SAC,0.0,A.J. Lawson,SG,2.8,0.2,2.4,0.8,SAC,114.4,99.46,2
22023,1630639,0022300577,2024-01-17,DAL @ LAL,L,5,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,6,1,0,LAL,0.0,A.J. Lawson,SG,2.8,0.6,2.6,0.6,LAL,114.8,101.38,2
