GAME_DATE,team,opponent,is_home,actual_points,avg_points_last_5,MIN,FGA,AST,REB,days_rest
2024-04-14,LeBron James,NOP,0,28,,38,20,17,11,2.0
2024-04-12,LeBron James,MEM,0,37,,41,20,5,9,0.0
2024-04-09,LeBron James,GSW,1,33,,36,22,11,7,0.0
2024-04-06,LeBron James,CLE,1,24,,36,18,12,5,0.0
2024-04-03,LeBron James,WAS,0,25,,36,18,9,7,0.0
2024-04-02,LeBron James,TOR,0,23,29.4,29,12,9,4,0.0
2024-03-31,LeBron James,BKN,0,40,28.4,37,17,5,7,0.0
2024-03-29,LeBron James,IND,0,16,29.0,35,12,8,10,0.0
2024-03-27,LeBron James,MEM,0,23,25.6,35,14,12,14,0.0
2024-03-24,LeBron James,IND,1,26,25.4,38,19,10,5,0.0
2024-03-22,LeBron James,PHI,1,20,25.6,38,15,6,8,0.0
2024-03-18,LeBron James,ATL,1,25,25.0,29,14,10,7,0.0
2024-03-16,LeBron James,GSW,1,40,22.0,38,23,9,8,0.0
2024-03-13,LeBron James,SAC,0,18,26.8,40,16,9,13,0.0
2024-03-10,LeBron James,MIN,1,29,25.8,38,16,9,8,0.0
2024-03-06,LeBron James,SAC,1,31,26.4,36,16,13,5,0.0
2024-03-04,LeBron James,OKC,1,19,28.6,31,14,8,11,0.0
2024-03-02,LeBron James,DEN,1,26,27.4,37,20,9,4,0.0
2024-02-29,LeBron James,WAS,1,31,24.6,39,24,9,4,0.0
2024-02-28,LeBron James,LAC,0,34,27.2,37,21,8,6,0.0
2024-02-25,LeBron James,PHX,0,28,28.2,37,19,12,7,0.0
2024-02-23,LeBron James,SAS,1,30,27.6,34,22,9,7,0.0
2024-02-13,LeBron James,DET,1,25,29.8,31,15,8,1,0.0
2024-02-09,LeBron James,NOP,1,21,29.6,38,13,14,4,0.0
2024-02-08,LeBron James,DEN,1,25,27.6,35,20,7,9,0.0
2024-02-05,LeBron James,CHA,0,26,25.8,40,22,7,4,0.0
2024-02-03,LeBron James,NYK,0,24,25.4,40,19,5,5,0.0
2024-01-30,LeBron James,ATL,0,20,24.2,36,17,8,9,0.0
2024-01-29,LeBron James,HOU,0,23,23.2,37,15,10,6,0.0
2024-01-27,LeBron James,GSW,0,36,23.6,48,25,12,20,0.0
2024-01-25,LeBron James,CHI,1,25,25.8,36,19,12,4,0.0
2024-01-21,LeBron James,POR,1,28,25.6,31,16,5,5,0.0
2024-01-19,LeBron James,BKN,1,24,26.4,34,22,5,11,0.0
2024-01-17,LeBron James,DAL,1,25,27.2,33,19,8,8,0.0
2024-01-15,LeBron James,OKC,1,25,27.6,39,20,6,7,0.0
2024-01-11,LeBron James,PHX,1,10,25.4,24,11,9,5,0.0
2024-01-09,LeBron James,TOR,1,22,22.4,35,17,12,5,0.0
2024-01-07,LeBron James,LAC,1,25,21.2,38,19,7,8,0.0
2024-01-05,LeBron James,MEM,1,32,21.4,39,24,7,5,0.0
2024-01-03,LeBron James,MIA,1,12,22.8,38,18,9,6,0.0
2023-12-31,LeBron James,NOP,0,34,20.2,37,24,8,5,0.0
2023-12-30,LeBron James,MIN,0,26,25.0,39,21,6,3,0.0
2023-12-28,LeBron James,CHA,1,17,25.8,25,13,11,4,0.0
2023-12-25,LeBron James,BOS,1,16,24.2,37,14,8,9,0.0
2023-12-23,LeBron James,OKC,0,40,21.0,37,20,7,7,0.0
2023-12-20,LeBron James,CHI,0,25,26.6,37,18,9,10,0.0
2023-12-18,LeBron James,NYK,1,25,24.8,39,23,11,11,0.0
2023-12-15,LeBron James,SAS,0,23,24.6,36,17,14,7,0.0
2023-12-12,LeBron James,DAL,0,33,25.8,40,27,9,8,0.0
2023-12-07,LeBron James,NOP,1,30,29.2,23,12,8,5,0.0
2023-12-05,LeBron James,PHX,1,31,27.2,40,25,11,8,0.0
2023-12-02,LeBron James,HOU,1,16,28.4,35,17,7,4,0.0
2023-11-30,LeBron James,OKC,0,21,26.6,35,12,6,12,0.0
2023-11-29,LeBron James,DET,0,25,26.2,29,19,3,8,0.0
2023-11-27,LeBron James,PHI,0,18,24.6,30,12,5,0,0.0
2023-11-25,LeBron James,CLE,0,22,22.2,36,23,6,6,0.0
2023-11-22,LeBron James,DAL,1,26,20.4,36,19,7,9,0.0
2023-11-21,LeBron James,UTA,1,17,22.4,24,10,9,7,0.0
2023-11-19,LeBron James,HOU,1,37,21.6,40,19,8,6,0.0
2023-11-17,LeBron James,POR,0,35,24.0,35,22,9,5,0.0
2023-11-15,LeBron James,SAC,1,28,27.4,35,15,12,10,0.0
2023-11-14,LeBron James,MEM,1,16,28.6,23,11,6,9,0.0
2023-11-10,LeBron James,PHX,0,32,26.6,36,17,6,11,0.0
2023-11-08,LeBron James,HOU,0,18,29.6,27,13,2,6,0.0
2023-11-06,LeBron James,MIA,0,30,25.8,37,23,3,4,0.0
2023-11-04,LeBron James,ORL,0,24,24.8,35,15,5,9,0.0
2023-11-01,LeBron James,LAC,1,35,24.0,42,19,7,12,0.0
2023-10-30,LeBron James,ORL,1,19,27.8,33,17,4,3,0.0
2023-10-29,LeBron James,SAC,0,27,25.2,39,19,8,15,0.0
2023-10-26,LeBron James,PHX,1,21,27.0,35,14,9,8,0.0
2023-10-24,LeBron James,DEN,0,21,25.2,29,16,5,8,0.0
2024-04-12,Stephen Curry,NOP,1,33,,32,23,5,4,2.0
2024-04-11,Stephen Curry,POR,0,22,,36,22,8,7,0.0
2024-04-09,Stephen Curry,LAL,0,23,,32,9,8,7,0.0
2024-04-05,Stephen Curry,DAL,0,28,,35,23,5,6,0.0
2024-04-04,Stephen Curry,HOU,0,29,,31,14,6,6,0.0
2024-04-02,Stephen Curry,DAL,1,13,27.0,32,18,7,7,0.0
2024-03-31,Stephen Curry,SAS,0,33,23.0,33,23,8,1,0.0
2024-03-29,Stephen Curry,CHA,0,23,25.2,32,18,4,1,0.0
2024-03-27,Stephen Curry,ORL,0,17,25.2,35,18,10,4,0.0
2024-03-26,Stephen Curry,MIA,0,17,23.0,31,15,6,2,0.0
2024-03-24,Stephen Curry,MIN,0,31,20.6,30,21,3,4,0.0
