defensive_efficiency_Rank,Team,defensive_efficiency_2024,defensive_efficiency_Last 3,defensive_efficiency_Last 1,defensive_efficiency_Home,defensive_efficiency_Away,defensive_efficiency_2023,floor_percentage_Rank,floor_percentage_2024,floor_percentage_Last 3,floor_percentage_Last 1,floor_percentage_Home,floor_percentage_Away,floor_percentage_2023,points_in_paint_per_game_Rank,points_in_paint_per_game_2024,points_in_paint_per_game_Last 3,points_in_paint_per_game_Last 1,points_in_paint_per_game_Home,points_in_paint_per_game_Away,points_in_paint_per_game_2023,points_per_game_Rank,points_per_game_2024,points_per_game_Last 3,points_per_game_Last 1,points_per_game_Home,points_per_game_Away,points_per_game_2023,average_scoring_margin_Rank,average_scoring_margin_2024,average_scoring_margin_Last 3,average_scoring_margin_Last 1,average_scoring_margin_Home,average_scoring_margin_Away,average_scoring_margin_2023,fastbreak_points_per_game_Rank,fastbreak_points_per_game_2024,fastbreak_points_per_game_Last 3,fastbreak_points_per_game_Last 1,fastbreak_points_per_game_Home,fastbreak_points_per_game_Away,fastbreak_points_per_game_2023,points_from_2_pointers_Rank,points_from_2_pointers_2024,points_from_2_pointers_Last 3,points_from_2_pointers_Last 1,points_from_2_pointers_Home,points_from_2_pointers_Away,points_from_2_pointers_2023,fastbreak_efficiency_Rank,fastbreak_efficiency_2024,fastbreak_efficiency_Last 3,fastbreak_efficiency_Last 1,fastbreak_efficiency_Home,fastbreak_efficiency_Away,fastbreak_efficiency_2023,percent_of_points_from_2_pointers_Rank,percent_of_points_from_2_pointers_2024,percent_of_points_from_2_pointers_Last 3,percent_of_points_from_2_pointers_Last 1,percent_of_points_from_2_pointers_Home,percent_of_points_from_2_pointers_Away,percent_of_points_from_2_pointers_2023,points_from_3_pointers_Rank,points_from_3_pointers_2024,points_from_3_pointers_Last 3,points_from_3_pointers_Last 1,points_from_3_pointers_Home,points_from_3_pointers_Away,points_from_3_pointers_2023,percent_of_points_from_3_pointers_Rank,percent_of_points_from_3_pointers_2024,percent_of_points_from_3_pointers_Last 3,percent_of_points_from_3_pointers_Last 1,percent_of_points_from_3_pointers_Home,percent_of_points_from_3_pointers_Away,percent_of_points_from_3_pointers_2023,effective_field_goal_pct_Rank,effective_field_goal_pct_2024,effective_field_goal_pct_Last 3,effective_field_goal_pct_Last 1,effective_field_goal_pct_Home,effective_field_goal_pct_Away,effective_field_goal_pct_2023,three_point_pct_Rank,three_point_pct_2024,three_point_pct_Last 3,three_point_pct_Last 1,three_point_pct_Home,three_point_pct_Away,three_point_pct_2023,shooting_pct_Rank,shooting_pct_2024,shooting_pct_Last 3,shooting_pct_Last 1,shooting_pct_Home,shooting_pct_Away,shooting_pct_2023,percent_of_points_from_free_throws_Rank,percent_of_points_from_free_throws_2024,percent_of_points_from_free_throws_Last 3,percent_of_points_from_free_throws_Last 1,percent_of_points_from_free_throws_Home,percent_of_points_from_free_throws_Away,percent_of_points_from_free_throws_2023,two_point_pct_Rank,two_point_pct_2024,two_point_pct_Last 3,two_point_pct_Last 1,two_point_pct_Home,two_point_pct_Away,two_point_pct_2023,field_goals_attempted_per_game_Rank,field_goals_attempted_per_game_2024,field_goals_attempted_per_game_Last 3,field_goals_attempted_per_game_Last 1,field_goals_attempted_per_game_Home,field_goals_attempted_per_game_Away,field_goals_attempted_per_game_2023,three_pointers_made_per_game_Rank,three_pointers_made_per_game_2024,three_pointers_made_per_game_Last 3,three_pointers_made_per_game_Last 1,three_pointers_made_per_game_Home,three_pointers_made_per_game_Away,three_pointers_made_per_game_2023,field_goals_made_per_game_Rank,field_goals_made_per_game_2024,field_goals_made_per_game_Last 3,field_goals_made_per_game_Last 1,field_goals_made_per_game_Home,field_goals_made_per_game_Away,field_goals_made_per_game_2023
20,Atlanta,1.122,1.137,1.154,1.118,1.127,1.156,19,50.6%,51.6%,51.8%,50.2%,51.0%,52.4%,22,50.0,50.7,48.0,50.8,49.3,53.9,28,119.4,116.0,123.0,119.5,119.2,120.6,19,1.5,7.3,9.0,1.4,1.6,2.3,22,16.4,16.3,14.0,18.1,14.8,16.6,23,58.5,60.0,64.0,59.0,58.0,61.6,11,1.801,2.333,3.5,1.912,1.687,2.144,12,49.0%,51.7%,52.0%,49.4%,48.7%,51.0%,25,42.7,42.0,48.0,43.5,41.9,41.9,17,35.8%,36.2%,39.0%,36.4%,35.2%,34.7%,28,56.1%,55.6%,58.3%,56.0%,56.1%,57.3%,28,37.6%,36.2%,38.1%,37.9%,37.4%,38.4%,28,48.2%,48.0%,50.0%,48.1%,48.3%,49.6%,20,15.2%,12.1%,8.9%,14.2%,16.1%,14.3%,25,55.8%,56.6%,59.3%,55.4%,56.2%,57.1%,21,90.3,91.7,96.0,91.6,89.0,90.2,25,14.2,14.0,16.0,14.5,14.0,14.0,25,43.5,44.0,48.0,44.0,43.0,44.7
4,Boston,1.071,1.173,1.204,1.078,1.063,1.078,2,48.4%,53.0%,52.5%,48.9%,47.9%,48.7%,3,45.7,46.0,48.0,44.7,46.7,47.6,2,106.3,114.0,119.0,106.6,106.1,107.6,3,-8.7,7.0,38.0,-9.3,-8.0,-10.7,4,13.3,11.7,23.0,12.7,14.0,12.4,8,54.6,54.0,52.0,55.2,54.0,57.2,21,1.939,2.059,3.286,1.866,2.013,2.059,28,51.4%,47.4%,43.7%,51.8%,50.9%,53.2%,2,37.6,40.0,48.0,37.0,38.3,37.6,12,35.4%,35.1%,40.3%,34.7%,36.1%,34.9%,2,51.9%,53.4%,54.9%,51.5%,52.2%,52.4%,2,34.3%,36.7%,35.6%,34.2%,34.5%,34.9%,2,44.8%,45.8%,46.2%,44.6%,45.0%,45.5%,3,13.2%,17.5%,16.0%,13.4%,13.0%,11.9%,2,52.1%,52.3%,56.5%,51.7%,52.6%,52.5%,15,88.9,88.0,91.0,89.5,88.3,90.4,2,12.5,13.3,16.0,12.3,12.8,12.5,4,39.9,40.3,42.0,40.0,39.8,41.1
18,Brooklyn,1.119,1.2,1.134,1.123,1.115,1.124,23,51.0%,55.0%,49.4%,51.1%,50.8%,50.9%,20,49.6,53.3,36.0,49.3,49.8,48.3,12,112.2,121.0,113.0,112.5,111.9,113.3,26,7.1,19.3,8.0,8.8,5.5,2.9,19,16.1,21.3,16.0,15.8,16.4,15.6,11,55.1,56.7,42.0,54.8,55.3,57.2,25,2.0,2.462,1.6,1.903,2.103,2.275,13,49.1%,46.8%,37.2%,48.7%,49.4%,50.5%,9,38.7,42.0,48.0,39.1,38.4,39.0,8,34.5%,34.7%,42.5%,34.7%,34.3%,34.4%,25,55.7%,59.9%,52.3%,56.1%,55.2%,54.3%,17,36.2%,38.5%,38.1%,36.8%,35.5%,37.2%,27,48.0%,51.4%,43.0%,48.3%,47.7%,47.0%,26,16.4%,18.5%,20.4%,16.6%,16.2%,15.1%,27,56.7%,61.6%,47.7%,56.7%,56.7%,53.4%,2,84.3,82.3,86.0,83.7,84.8,88.5,9,12.9,14.0,16.0,13.0,12.8,13.0,8,40.5,42.3,37.0,40.4,40.5,41.6
23,Charlotte,1.126,1.17,0.996,1.11,1.142,1.164,16,50.6%,50.1%,43.5%,50.3%,50.8%,52.6%,12,47.9,43.3,38.0,48.6,47.2,52.5,16,114.2,116.3,93.0,111.9,116.6,116.8,27,9.1,24.3,7.0,5.5,12.7,10.2,23,16.6,18.0,12.0,16.7,16.5,13.8,9,54.8,51.3,42.0,54.3,55.3,59.4,17,1.894,1.862,1.0,1.983,1.812,1.938,5,48.0%,44.1%,45.2%,48.5%,47.4%,50.9%,22,42.5,56.0,42.0,39.7,45.4,40.9,27,37.3%,48.1%,45.2%,35.5%,39.0%,35.0%,21,54.7%,55.7%,46.7%,53.6%,55.8%,57.2%,10,35.5%,37.8%,31.1%,33.2%,37.8%,37.7%,16,46.7%,46.0%,38.9%,46.0%,47.4%,49.4%,14,14.8%,7.7%,9.7%,16.0%,13.6%,14.1%,26,55.9%,54.6%,46.7%,56.7%,55.2%,57.7%,16,88.9,96.3,90.0,87.7,90.2,87.7,22,14.2,18.7,14.0,13.2,15.1,13.6,16,41.6,44.3,35.0,40.4,42.8,43.4
19,Chicago,1.121,0.951,1.082,1.117,1.125,1.127,22,50.9%,43.2%,49.7%,50.5%,51.2%,50.5%,30,54.0,45.3,56.0,54.6,53.4,45.2,26,119.2,100.0,109.0,118.6,119.9,113.7,20,1.8,-10.3,19.0,2.7,0.8,1.5,11,14.6,10.7,14.0,14.8,14.4,13.3,30,61.5,51.3,56.0,62.1,60.9,53.0,10,1.798,1.333,1.4,1.805,1.79,1.981,29,51.6%,51.3%,51.4%,52.3%,50.8%,46.6%,17,40.9,35.0,39.0,40.6,41.1,43.6,6,34.3%,35.0%,35.8%,34.3%,34.3%,38.3%,13,54.0%,48.3%,57.2%,53.7%,54.2%,55.6%,3,34.4%,29.2%,37.1%,34.1%,34.7%,36.9%,17,46.8%,41.8%,49.4%,46.6%,47.0%,47.2%,7,14.1%,13.7%,12.8%,13.4%,14.9%,15.0%,24,55.6%,52.0%,58.3%,55.4%,55.8%,55.7%,30,94.9,89.3,83.0,95.7,94.0,87.0,17,13.6,11.7,13.0,13.5,13.7,14.5,29,44.4,37.3,41.0,44.6,44.1,41.1
8,Cleveland,1.085,1.099,1.107,1.073,1.097,1.092,7,49.0%,50.4%,49.4%,48.6%,49.3%,49.6%,8,46.8,50.0,44.0,46.1,47.5,45.6,11,111.9,115.7,114.0,111.4,112.5,109.4,2,-9.7,2.3,9.0,-10.5,-9.0,-1.4,12,15.0,13.3,13.0,14.6,15.4,14.1,12,55.2,57.3,52.0,55.4,55.0,55.3,23,1.971,2.0,1.625,1.809,2.159,1.87,15,49.3%,49.6%,45.6%,49.8%,48.9%,50.5%,16,40.5,39.0,45.0,39.5,41.5,37.4,20,36.2%,33.7%,39.5%,35.5%,36.8%,34.2%,5,53.1%,56.7%,59.1%,53.1%,53.0%,53.3%,15,36.1%,39.0%,42.9%,35.8%,36.5%,36.6%,3,45.6%,49.0%,50.0%,45.7%,45.4%,46.1%,12,14.5%,16.7%,14.9%,14.7%,14.3%,15.3%,3,52.3%,55.5%,55.3%,52.7%,51.9%,52.2%,20,90.1,85.0,82.0,89.4,90.9,87.0,16,13.5,13.0,15.0,13.2,13.8,12.5,11,41.1,41.7,41.0,40.9,41.3,40.1
22,Dallas,1.125,1.172,1.161,1.094,1.154,1.112,25,51.3%,52.6%,52.2%,50.1%,52.3%,50.6%,29,52.4,56.0,60.0,51.1,53.6,49.0,20,115.3,119.3,120.0,111.4,119.0,113.0,18,1.2,11.7,14.0,-2.9,4.9,-2.3,17,15.5,23.3,19.0,13.7,17.2,14.9,29,60.5,66.0,68.0,59.2,61.6,57.8,20,1.923,2.593,2.375,1.827,2.0,2.056,30,52.4%,55.3%,56.7%,53.2%,51.8%,51.1%,8,38.6,41.0,39.0,35.4,41.5,38.8,2,33.4%,34.4%,32.5%,31.8%,34.8%,34.3%,12,53.9%,54.8%,53.5%,51.8%,55.9%,54.1%,20,36.4%,39.4%,41.9%,33.7%,38.8%,36.5%,18,46.9%,47.8%,47.0%,45.3%,48.4%,46.9%,6,14.1%,10.3%,10.8%,15.0%,13.4%,14.6%,10,53.5%,52.4%,49.3%,52.5%,54.5%,53.7%,25,91.8,97.7,100.0,91.4,92.2,89.2,8,12.9,13.7,13.0,11.8,13.8,12.9,23,43.1,46.7,47.0,41.4,44.6,41.8
21,Denver,1.125,1.116,1.22,1.114,1.136,1.096,21,50.9%,51.6%,56.5%,50.4%,51.3%,50.7%,25,50.8,55.3,64.0,50.5,51.0,50.3,22,116.1,114.7,125.0,115.3,117.0,108.9,9,-2.6,9.0,32.0,-5.9,0.7,-4.3,24,16.6,21.7,27.0,16.9,16.3,13.6,24,58.6,64.0,70.0,58.4,58.8,58.8,16,1.882,1.912,1.688,1.954,1.813,1.944,22,50.4%,55.8%,56.0%,50.6%,50.2%,54.0%,18,41.4,35.0,36.0,41.1,41.7,33.2,15,35.7%,30.5%,28.8%,35.7%,35.6%,30.5%,16,54.1%,55.0%,55.2%,53.9%,54.3%,52.8%,16,36.2%,32.4%,30.8%,36.1%,36.3%,35.2%,12,46.6%,48.5%,49.0%,46.5%,46.8%,46.4%,4,13.9%,13.7%,15.2%,13.7%,14.2%,15.5%,12,54.0%,59.3%,61.4%,53.7%,54.2%,52.7%,26,92.4,90.0,96.0,92.3,92.5,87.2,18,13.8,11.7,12.0,13.7,13.9,11.1,23,43.1,43.7,47.0,42.9,43.3,40.5
9,Detroit,1.091,1.024,1.105,1.095,1.087,1.151,11,49.5%,47.7%,52.1%,49.4%,49.7%,53.0%,5,46.2,44.0,48.0,44.8,47.6,54.4,14,113.2,104.3,116.0,113.3,113.1,119.0,13,-1.7,0.3,3.0,-1.2,-2.2,9.1,10,14.5,14.3,18.0,14.8,14.2,14.2,4,54.0,53.3,62.0,53.0,55.1,63.1,1,1.633,1.955,3.0,1.668,1.597,1.605,4,47.7%,51.1%,53.4%,46.7%,48.7%,53.0%,14,40.4,34.0,30.0,42.1,38.7,36.3,16,35.7%,32.6%,25.9%,37.2%,34.2%,30.5%,9,53.7%,49.1%,53.5%,53.6%,53.9%,55.8%,26,36.6%,38.6%,33.3%,38.1%,35.2%,37.0%,8,46.1%,42.7%,47.7%,45.6%,46.5%,49.0%,27,16.6%,16.3%,20.7%,16.1%,17.1%,16.5%,5,52.8%,44.7%,55.4%,51.1%,54.6%,56.0%,10,87.9,89.0,86.0,88.8,87.1,89.0,14,13.5,11.3,10.0,14.0,12.9,12.1,9,40.5,38.0,41.0,40.5,40.5,43.6
7,Golden State,1.081,1.121,1.19,1.08,1.083,1.116,8,49.1%,50.3%,54.4%,49.1%,49.2%,50.6%,4,46.1,53.3,72.0,45.7,46.4,49.6,7,110.0,113.3,121.0,110.0,110.0,115.2,10,-2.5,7.7,11.0,-1.9,-3.1,-2.3,8,13.9,13.7,16.0,13.4,14.4,14.9,6,54.5,54.7,72.0,54.9,54.1,57.6,12,1.829,1.708,1.455,1.682,1.988,1.919,16,49.5%,48.2%,59.5%,49.9%,49.2%,50.0%,10,38.8,42.0,39.0,38.9,38.8,40.0,11,35.3%,37.1%,32.2%,35.3%,35.2%,34.7%,14,54.0%,60.7%,71.2%,54.0%,54.0%,53.9%,25,36.5%,42.4%,41.9%,36.5%,36.5%,36.0%,11,46.5%,51.9%,62.8%,46.6%,46.5%,46.5%,19,15.2%,14.7%,8.3%,14.8%,15.6%,15.3%,9,53.5%,58.6%,76.6%,53.5%,53.5%,53.8%,4,86.3,79.7,78.0,86.7,85.9,90.5,10,12.9,14.0,13.0,13.0,12.9,13.3,6,40.2,41.3,49.0,40.4,40.0,42.1
